Areaname,Area,Areatype,Stfips,Maparea,Stateabbrv,Periodyear,Periodtype,Period,Timeperiod,Adjusted,Laborforce,Emplab,Unemp,Unemprate,Clfprate,Emppopratio,Fullperiod,Sortperiod,Rank,Preliminary,prelim
Lebanon County,75,4,42,4204000075,PA,2020,3,1,"January, 2020",1,72600,69500,3100,4.3,,,20200301,3202001,39,No,0
Lehigh County,77,4,42,4204000077,PA,2020,3,1,"January, 2020",1,194700,185800,8900,4.5,,,20200301,3202001,40,No,0
Luzerne County,79,4,42,4204000079,PA,2020,3,1,"January, 2020",1,159400,150100,9300,5.9,,,20200301,3202001,41,No,0
Lycoming County,81,4,42,4204000081,PA,2020,3,1,"January, 2020",1,56900,53900,3000,5.3,,,20200301,3202001,42,No,0
McKean County,83,4,42,4204000083,PA,2020,3,1,"January, 2020",1,17500,16400,1100,6.3,,,20200301,3202001,43,No,0
Mercer County,85,4,42,4204000085,PA,2020,3,1,"January, 2020",1,49000,46400,2500,5.2,,,20200301,3202001,44,No,0
Mifflin County,87,4,42,4204000087,PA,2020,3,1,"January, 2020",1,21100,20100,1000,4.7,,,20200301,3202001,45,No,0
Monroe County,89,4,42,4204000089,PA,2020,3,1,"January, 2020",1,83700,78900,4800,5.7,,,20200301,3202001,46,No,0
Montgomery County,91,4,42,4204000091,PA,2020,3,1,"January, 2020",1,461600,445100,16500,3.6,,,20200301,3202001,47,No,0
Montour County,93,4,42,4204000093,PA,2020,3,1,"January, 2020",1,9200,8900,300,3.6,,,20200301,3202001,48,No,0
Northampton County,95,4,42,4204000095,PA,2020,3,1,"January, 2020",1,163000,155400,7500,4.6,,,20200301,3202001,49,No,0
Northumberland County,97,4,42,4204000097,PA,2020,3,1,"January, 2020",1,43200,40600,2500,5.8,,,20200301,3202001,50,No,0
Perry County,99,4,42,4204000099,PA,2020,3,1,"January, 2020",1,24700,23800,900,3.8,,,20200301,3202001,51,No,0
Philadelphia County,101,4,42,4204000101,PA,2020,3,1,"January, 2020",1,732700,690300,42400,5.8,,,20200301,3202001,52,No,0
Pike County,103,4,42,4204000103,PA,2020,3,1,"January, 2020",1,25500,24000,1500,6,,,20200301,3202001,53,No,0
Potter County,105,4,42,4204000105,PA,2020,3,1,"January, 2020",1,7200,6700,500,7.3,,,20200301,3202001,54,No,0
Schuylkill County,107,4,42,4204000107,PA,2020,3,1,"January, 2020",1,66800,63200,3600,5.4,,,20200301,3202001,55,No,0
Snyder County,109,4,42,4204000109,PA,2020,3,1,"January, 2020",1,19800,18700,1000,5.3,,,20200301,3202001,56,No,0
Somerset County,111,4,42,4204000111,PA,2020,3,1,"January, 2020",1,33300,31400,1900,5.6,,,20200301,3202001,57,No,0
Sullivan County,113,4,42,4204000113,PA,2020,3,1,"January, 2020",1,2600,2500,200,6.4,,,20200301,3202001,58,No,0
Susquehanna County,115,4,42,4204000115,PA,2020,3,1,"January, 2020",1,20400,19400,1000,4.8,,,20200301,3202001,59,No,0
Tioga County,117,4,42,4204000117,PA,2020,3,1,"January, 2020",1,19100,18100,1000,5.5,,,20200301,3202001,60,No,0
Union County,119,4,42,4204000119,PA,2020,3,1,"January, 2020",1,20000,19200,800,4,,,20200301,3202001,61,No,0
Venango County,121,4,42,4204000121,PA,2020,3,1,"January, 2020",1,22400,21200,1200,5.4,,,20200301,3202001,62,No,0
Warren County,123,4,42,4204000123,PA,2020,3,1,"January, 2020",1,18800,17800,1000,5.1,,,20200301,3202001,63,No,0
Washington County,125,4,42,4204000125,PA,2020,3,1,"January, 2020",1,107400,102200,5200,4.8,,,20200301,3202001,64,No,0
Wayne County,127,4,42,4204000127,PA,2020,3,1,"January, 2020",1,22400,21300,1100,5.1,,,20200301,3202001,65,No,0
Westmoreland County,129,4,42,4204000129,PA,2020,3,1,"January, 2020",1,181300,172600,8600,4.8,,,20200301,3202001,66,No,0
Wyoming County,131,4,42,4204000131,PA,2020,3,1,"January, 2020",1,13700,13000,700,5.1,,,20200301,3202001,67,No,0
York County,133,4,42,4204000133,PA,2020,3,1,"January, 2020",1,238100,228300,9800,4.1,,,20200301,3202001,68,No,0
Berks County WDA,1,15,42,4215000001,PA,2020,3,1,"January, 2020",1,216300,206500,9800,4.6,,,20200301,3202001,69,No,0
Bucks County WDA,2,15,42,4215000002,PA,2020,3,1,"January, 2020",1,348800,334800,14000,4,,,20200301,3202001,70,No,0
Central WDA,3,15,42,4215000003,PA,2020,3,1,"January, 2020",1,304300,290300,14000,4.6,,,20200301,3202001,71,No,0
Chester County WDA,4,15,42,4215000004,PA,2020,3,1,"January, 2020",1,290400,280600,9700,3.3,,,20200301,3202001,72,No,0
Delaware County WDA,5,15,42,4215000005,PA,2020,3,1,"January, 2020",1,302800,290000,12800,4.2,,,20200301,3202001,73,No,0
Lackawanna County WDA,6,15,42,4215000006,PA,2020,3,1,"January, 2020",1,106200,100700,5500,5.2,,,20200301,3202001,74,No,0
Lancaster County WDA,7,15,42,4215000007,PA,2020,3,1,"January, 2020",1,288900,278400,10500,3.6,,,20200301,3202001,75,No,0
Lehigh Valley WDA,8,15,42,4215000008,PA,2020,3,1,"January, 2020",1,357500,341300,16200,4.5,,,20200301,3202001,76,No,0
Luzerne-Schuylkill Counties WDA,9,15,42,4215000009,PA,2020,3,1,"January, 2020",1,226500,213400,13100,5.8,,,20200301,3202001,77,No,0
Montgomery County WDA,10,15,42,4215000010,PA,2020,3,1,"January, 2020",1,461600,445100,16500,3.6,,,20200301,3202001,78,No,0
North Central WDA,11,15,42,4215000011,PA,2020,3,1,"January, 2020",1,83400,78600,4900,5.8,,,20200301,3202001,79,No,0
Northern Tier WDA,12,15,42,4215000012,PA,2020,3,1,"January, 2020",1,84400,80100,4300,5.1,,,20200301,3202001,80,No,0
Northwest WDA,13,15,42,4215000013,PA,2020,3,1,"January, 2020",1,229000,217300,11700,5.1,,,20200301,3202001,81,No,0
Philadelphia County WDA,14,15,42,4215000014,PA,2020,3,1,"January, 2020",1,732700,690300,42400,5.8,,,20200301,3202001,82,No,0
Pocono Counties WDA,15,15,42,4215000015,PA,2020,3,1,"January, 2020",1,163900,154600,9400,5.7,,,20200301,3202001,83,No,0
South Central WDA,16,15,42,4215000016,PA,2020,3,1,"January, 2020",1,759800,730000,29800,3.9,,,20200301,3202001,84,No,0
Southern Alleghenies WDA,17,15,42,4215000017,PA,2020,3,1,"January, 2020",1,202200,191300,10900,5.4,,,20200301,3202001,85,No,0
Southwest Corner WDA,18,15,42,4215000018,PA,2020,3,1,"January, 2020",1,208300,197800,10500,5,,,20200301,3202001,86,No,0
Three Rivers WDA,19,15,42,4215000019,PA,2020,3,1,"January, 2020",1,649700,621800,28000,4.3,,,20200301,3202001,87,No,0
Tri-County WDA,20,15,42,4215000020,PA,2020,3,1,"January, 2020",1,171300,163200,8100,4.7,,,20200301,3202001,88,No,0
West Central WDA,21,15,42,4215000021,PA,2020,3,1,"January, 2020",1,90000,85100,5000,5.5,,,20200301,3202001,89,No,0
Westmoreland and Fayette Counties WDA,22,15,42,4215000022,PA,2020,3,1,"January, 2020",1,238600,226100,12500,5.2,,,20200301,3202001,90,No,0
"Allentown-Bethlehem-Easton, PA-NJ MSA",10900,31,42,4231010900,PA,2020,3,1,"January, 2020",1,447500,427400,20200,4.5,,,20200301,3202001,91,No,0
"Altoona, PA MSA",11020,31,42,4231011020,PA,2020,3,1,"January, 2020",1,59900,57000,2800,4.7,,,20200301,3202001,92,No,0
"Bloomsburg-Berwick, PA MSA",14100,31,42,4231014100,PA,2020,3,1,"January, 2020",1,42900,40900,2000,4.6,,,20200301,3202001,93,No,0
"Chambersburg-Waynesboro, PA MSA",16540,31,42,4231016540,PA,2020,3,1,"January, 2020",1,77800,74800,3000,3.9,,,20200301,3202001,94,No,0
"East Stroudsburg, PA MSA",20700,31,42,4231020700,PA,2020,3,1,"January, 2020",1,83700,78900,4800,5.7,,,20200301,3202001,95,No,0
"Erie, PA MSA",21500,31,42,4231021500,PA,2020,3,1,"January, 2020",1,129900,123200,6700,5.2,,,20200301,3202001,96,No,0
"Gettysburg, PA MSA",23900,31,42,4231023900,PA,2020,3,1,"January, 2020",1,55700,53800,1900,3.4,,,20200301,3202001,97,No,0
"Harrisburg-Carlisle, PA MSA",25420,31,42,4231025420,PA,2020,3,1,"January, 2020",1,305200,293400,11800,3.9,,,20200301,3202001,98,No,0
"Johnstown, PA MSA",27780,31,42,4231027780,PA,2020,3,1,"January, 2020",1,57500,54200,3300,5.7,,,20200301,3202001,99,No,0
"Lancaster, PA MSA",29540,31,42,4231029540,PA,2020,3,1,"January, 2020",1,288900,278400,10500,3.6,,,20200301,3202001,100,No,0
"Lebanon, PA MSA",30140,31,42,4231030140,PA,2020,3,1,"January, 2020",1,72600,69500,3100,4.3,,,20200301,3202001,101,No,0
"Montgomery-Bucks-Chester, PA Metro Division",33874,31,42,4231033874,PA,2020,3,1,"January, 2020",1,1100600,1060500,40200,3.7,,,20200301,3202001,102,No,0
"Philadelphia, PA Metro Division",37964,31,42,4231037964,PA,2020,3,1,"January, 2020",1,1035800,981200,54600,5.3,,,20200301,3202001,103,No,0
"Philadelphia, PA MSA - PA Part",37965,31,42,4231037965,PA,2020,3,1,"January, 2020",1,2137600,2043100,94500,4.4,,,20200301,3202001,104,No,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",37980,31,42,4231037980,PA,2020,3,1,"January, 2020",1,3157300,3023300,134000,4.2,,,20200301,3202001,105,No,0
"Pittsburgh, PA MSA",38300,31,42,4231038300,PA,2020,3,1,"January, 2020",1,1218100,1161600,56500,4.6,,,20200301,3202001,106,No,0
"Reading, PA MSA",39740,31,42,4231039740,PA,2020,3,1,"January, 2020",1,216300,206500,9800,4.6,,,20200301,3202001,107,No,0
"Scranton--Wilkes-Barre--Hazleton, PA MSA",42540,31,42,4231042540,PA,2020,3,1,"January, 2020",1,278900,263300,15500,5.6,,,20200301,3202001,108,No,0
"State College, PA MSA",44300,31,42,4231044300,PA,2020,3,1,"January, 2020",1,80600,77700,2900,3.5,,,20200301,3202001,109,No,0
"Williamsport, PA MSA",48700,31,42,4231048700,PA,2020,3,1,"January, 2020",1,56900,53900,3000,5.3,,,20200301,3202001,110,No,0
"York-Hanover, PA MSA",49620,31,42,4231049620,PA,2020,3,1,"January, 2020",1,238100,228300,9800,4.1,,,20200301,3202001,111,No,0
United States,0,0,0,0,US,2020,3,2,"February, 2020",1,164448000,158732000,5717000,3.5,63.3,61.1,20200302,3202002,112,No,0
Pennsylvania,0,1,42,4201000000,PA,2020,3,2,"February, 2020",1,6528000,6204000,324000,5,63.5,60.3,20200302,3202002,113,No,0
Adams County,1,4,42,4204000001,PA,2020,3,2,"February, 2020",1,55700,53800,1900,3.5,,,20200302,3202002,114,No,0
Allegheny County,3,4,42,4204000003,PA,2020,3,2,"February, 2020",1,649900,622100,27700,4.3,,,20200302,3202002,115,No,0
Armstrong County,5,4,42,4204000005,PA,2020,3,2,"February, 2020",1,32400,30500,1900,5.8,,,20200302,3202002,116,No,0
Beaver County,7,4,42,4204000007,PA,2020,3,2,"February, 2020",1,84500,80100,4400,5.2,,,20200302,3202002,117,No,0
Bedford County,9,4,42,4204000009,PA,2020,3,2,"February, 2020",1,23800,22500,1300,5.3,,,20200302,3202002,118,No,0
Berks County,11,4,42,4204000011,PA,2020,3,2,"February, 2020",1,216500,206700,9800,4.5,,,20200302,3202002,119,No,0
Blair County,13,4,42,4204000013,PA,2020,3,2,"February, 2020",1,59700,57000,2800,4.7,,,20200302,3202002,120,No,0
Bradford County,15,4,42,4204000015,PA,2020,3,2,"February, 2020",1,28500,27100,1400,4.9,,,20200302,3202002,121,No,0
Bucks County,17,4,42,4204000017,PA,2020,3,2,"February, 2020",1,348900,334700,14200,4.1,,,20200302,3202002,122,No,0
Butler County,19,4,42,4204000019,PA,2020,3,2,"February, 2020",1,100500,96300,4200,4.2,,,20200302,3202002,123,No,0
Cambria County,21,4,42,4204000021,PA,2020,3,2,"February, 2020",1,57300,54000,3300,5.7,,,20200302,3202002,124,No,0
Cameron County,23,4,42,4204000023,PA,2020,3,2,"February, 2020",1,2100,1900,100,6.8,,,20200302,3202002,125,No,0
Carbon County,25,4,42,4204000025,PA,2020,3,2,"February, 2020",1,32400,30600,1800,5.5,,,20200302,3202002,126,No,0
Centre County,27,4,42,4204000027,PA,2020,3,2,"February, 2020",1,80700,77900,2800,3.5,,,20200302,3202002,127,No,0
Chester County,29,4,42,4204000029,PA,2020,3,2,"February, 2020",1,290600,281100,9500,3.3,,,20200302,3202002,128,No,0
Clarion County,31,4,42,4204000031,PA,2020,3,2,"February, 2020",1,17200,16200,900,5.3,,,20200302,3202002,129,No,0
Clearfield County,33,4,42,4204000033,PA,2020,3,2,"February, 2020",1,36000,33900,2100,5.8,,,20200302,3202002,130,No,0
Clinton County,35,4,42,4204000035,PA,2020,3,2,"February, 2020",1,18100,17000,1100,5.9,,,20200302,3202002,131,No,0
Columbia County,37,4,42,4204000037,PA,2020,3,2,"February, 2020",1,33700,32100,1600,4.8,,,20200302,3202002,132,No,0
Crawford County,39,4,42,4204000039,PA,2020,3,2,"February, 2020",1,38900,36900,2000,5.2,,,20200302,3202002,133,No,0
Cumberland County,41,4,42,4204000041,PA,2020,3,2,"February, 2020",1,133600,128900,4800,3.6,,,20200302,3202002,134,No,0
Dauphin County,43,4,42,4204000043,PA,2020,3,2,"February, 2020",1,145500,139400,6100,4.2,,,20200302,3202002,135,No,0
Delaware County,45,4,42,4204000045,PA,2020,3,2,"February, 2020",1,303000,290200,12800,4.2,,,20200302,3202002,136,No,0
Elk County,47,4,42,4204000047,PA,2020,3,2,"February, 2020",1,15600,14600,1000,6.3,,,20200302,3202002,137,No,0
Erie County,49,4,42,4204000049,PA,2020,3,2,"February, 2020",1,130100,123100,7000,5.4,,,20200302,3202002,138,No,0
Fayette County,51,4,42,4204000051,PA,2020,3,2,"February, 2020",1,57300,53500,3800,6.6,,,20200302,3202002,139,No,0
Forest County,53,4,42,4204000053,PA,2020,3,2,"February, 2020",1,1800,1700,100,7.7,,,20200302,3202002,140,No,0
Franklin County,55,4,42,4204000055,PA,2020,3,2,"February, 2020",1,77900,74500,3300,4.3,,,20200302,3202002,141,No,0
Fulton County,57,4,42,4204000057,PA,2020,3,2,"February, 2020",1,7800,7300,500,6.5,,,20200302,3202002,142,No,0
Greene County,59,4,42,4204000059,PA,2020,3,2,"February, 2020",1,16600,15600,1000,5.9,,,20200302,3202002,143,No,0
Huntingdon County,61,4,42,4204000061,PA,2020,3,2,"February, 2020",1,20100,18800,1400,6.8,,,20200302,3202002,144,No,0
Indiana County,63,4,42,4204000063,PA,2020,3,2,"February, 2020",1,38800,36600,2200,5.6,,,20200302,3202002,145,No,0
Jefferson County,65,4,42,4204000065,PA,2020,3,2,"February, 2020",1,20300,19200,1100,5.3,,,20200302,3202002,146,No,0
Juniata County,67,4,42,4204000067,PA,2020,3,2,"February, 2020",1,12700,12200,600,4.4,,,20200302,3202002,147,No,0
Lackawanna County,69,4,42,4204000069,PA,2020,3,2,"February, 2020",1,105900,100400,5500,5.2,,,20200302,3202002,148,No,0
Lancaster County,71,4,42,4204000071,PA,2020,3,2,"February, 2020",1,289900,279200,10700,3.7,,,20200302,3202002,149,No,0
Lawrence County,73,4,42,4204000073,PA,2020,3,2,"February, 2020",1,41000,38400,2600,6.2,,,20200302,3202002,150,No,0
Lebanon County,75,4,42,4204000075,PA,2020,3,2,"February, 2020",1,72400,69300,3200,4.4,,,20200302,3202002,151,No,0
Lehigh County,77,4,42,4204000077,PA,2020,3,2,"February, 2020",1,194800,186000,8800,4.5,,,20200302,3202002,152,No,0
Luzerne County,79,4,42,4204000079,PA,2020,3,2,"February, 2020",1,159200,149800,9400,5.9,,,20200302,3202002,153,No,0
Lycoming County,81,4,42,4204000081,PA,2020,3,2,"February, 2020",1,56700,53700,3000,5.3,,,20200302,3202002,154,No,0
McKean County,83,4,42,4204000083,PA,2020,3,2,"February, 2020",1,17500,16300,1100,6.5,,,20200302,3202002,155,No,0
Mercer County,85,4,42,4204000085,PA,2020,3,2,"February, 2020",1,48900,46200,2600,5.4,,,20200302,3202002,156,No,0
Mifflin County,87,4,42,4204000087,PA,2020,3,2,"February, 2020",1,21100,20100,1000,4.9,,,20200302,3202002,157,No,0
Monroe County,89,4,42,4204000089,PA,2020,3,2,"February, 2020",1,83600,78800,4800,5.7,,,20200302,3202002,158,No,0
Montgomery County,91,4,42,4204000091,PA,2020,3,2,"February, 2020",1,461900,445400,16500,3.6,,,20200302,3202002,159,No,0
Montour County,93,4,42,4204000093,PA,2020,3,2,"February, 2020",1,9200,8900,300,3.5,,,20200302,3202002,160,No,0
Northampton County,95,4,42,4204000095,PA,2020,3,2,"February, 2020",1,163000,155500,7400,4.6,,,20200302,3202002,161,No,0
Northumberland County,97,4,42,4204000097,PA,2020,3,2,"February, 2020",1,43100,40600,2500,5.8,,,20200302,3202002,162,No,0
Perry County,99,4,42,4204000099,PA,2020,3,2,"February, 2020",1,24800,23800,1000,4.1,,,20200302,3202002,163,No,0
Philadelphia County,101,4,42,4204000101,PA,2020,3,2,"February, 2020",1,734400,691800,42600,5.8,,,20200302,3202002,164,No,0
Pike County,103,4,42,4204000103,PA,2020,3,2,"February, 2020",1,25500,24000,1500,5.9,,,20200302,3202002,165,No,0
Potter County,105,4,42,4204000105,PA,2020,3,2,"February, 2020",1,7200,6700,500,7.1,,,20200302,3202002,166,No,0
Schuylkill County,107,4,42,4204000107,PA,2020,3,2,"February, 2020",1,66800,63200,3600,5.5,,,20200302,3202002,167,No,0
Snyder County,109,4,42,4204000109,PA,2020,3,2,"February, 2020",1,19700,18800,1000,5.1,,,20200302,3202002,168,No,0
Somerset County,111,4,42,4204000111,PA,2020,3,2,"February, 2020",1,33200,31400,1800,5.5,,,20200302,3202002,169,No,0
Sullivan County,113,4,42,4204000113,PA,2020,3,2,"February, 2020",1,2600,2500,100,5.6,,,20200302,3202002,170,No,0
Susquehanna County,115,4,42,4204000115,PA,2020,3,2,"February, 2020",1,20400,19400,1000,4.8,,,20200302,3202002,171,No,0
Tioga County,117,4,42,4204000117,PA,2020,3,2,"February, 2020",1,19200,18000,1100,5.9,,,20200302,3202002,172,No,0
Union County,119,4,42,4204000119,PA,2020,3,2,"February, 2020",1,20100,19300,800,4,,,20200302,3202002,173,No,0
Venango County,121,4,42,4204000121,PA,2020,3,2,"February, 2020",1,22500,21200,1300,5.9,,,20200302,3202002,174,No,0
Warren County,123,4,42,4204000123,PA,2020,3,2,"February, 2020",1,18800,17800,1000,5.4,,,20200302,3202002,175,No,0
Washington County,125,4,42,4204000125,PA,2020,3,2,"February, 2020",1,107600,102300,5300,4.9,,,20200302,3202002,176,No,0
Wayne County,127,4,42,4204000127,PA,2020,3,2,"February, 2020",1,22500,21300,1200,5.2,,,20200302,3202002,177,No,0
Westmoreland County,129,4,42,4204000129,PA,2020,3,2,"February, 2020",1,181700,172700,8900,4.9,,,20200302,3202002,178,No,0
Wyoming County,131,4,42,4204000131,PA,2020,3,2,"February, 2020",1,13700,13000,700,5.1,,,20200302,3202002,179,No,0
York County,133,4,42,4204000133,PA,2020,3,2,"February, 2020",1,238300,228300,10000,4.2,,,20200302,3202002,180,No,0
Berks County WDA,1,15,42,4215000001,PA,2020,3,2,"February, 2020",1,216500,206700,9800,4.5,,,20200302,3202002,181,No,0
Bucks County WDA,2,15,42,4215000002,PA,2020,3,2,"February, 2020",1,348900,334700,14200,4.1,,,20200302,3202002,182,No,0
Central WDA,3,15,42,4215000003,PA,2020,3,2,"February, 2020",1,301900,287700,14100,4.7,,,20200302,3202002,183,No,0
Chester County WDA,4,15,42,4215000004,PA,2020,3,2,"February, 2020",1,290600,281100,9500,3.3,,,20200302,3202002,184,No,0
Delaware County WDA,5,15,42,4215000005,PA,2020,3,2,"February, 2020",1,303000,290200,12800,4.2,,,20200302,3202002,185,No,0
Lackawanna County WDA,6,15,42,4215000006,PA,2020,3,2,"February, 2020",1,105900,100400,5500,5.2,,,20200302,3202002,186,No,0
Lancaster County WDA,7,15,42,4215000007,PA,2020,3,2,"February, 2020",1,289900,279200,10700,3.7,,,20200302,3202002,187,No,0
Lehigh Valley WDA,8,15,42,4215000008,PA,2020,3,2,"February, 2020",1,357600,341500,16100,4.5,,,20200302,3202002,188,No,0
Luzerne-Schuylkill Counties WDA,9,15,42,4215000009,PA,2020,3,2,"February, 2020",1,226200,213000,13200,5.8,,,20200302,3202002,189,No,0
Montgomery County WDA,10,15,42,4215000010,PA,2020,3,2,"February, 2020",1,461900,445400,16500,3.6,,,20200302,3202002,190,No,0
North Central WDA,11,15,42,4215000011,PA,2020,3,2,"February, 2020",1,83000,78100,4900,5.9,,,20200302,3202002,191,No,0
Northern Tier WDA,12,15,42,4215000012,PA,2020,3,2,"February, 2020",1,84300,80000,4400,5.2,,,20200302,3202002,192,No,0
Northwest WDA,13,15,42,4215000013,PA,2020,3,2,"February, 2020",1,229000,217000,12000,5.2,,,20200302,3202002,193,No,0
Philadelphia County WDA,14,15,42,4215000014,PA,2020,3,2,"February, 2020",1,734400,691800,42600,5.8,,,20200302,3202002,194,No,0
Pocono Counties WDA,15,15,42,4215000015,PA,2020,3,2,"February, 2020",1,164000,154700,9300,5.7,,,20200302,3202002,195,No,0
South Central WDA,16,15,42,4215000016,PA,2020,3,2,"February, 2020",1,760100,729700,30400,4,,,20200302,3202002,196,No,0
Southern Alleghenies WDA,17,15,42,4215000017,PA,2020,3,2,"February, 2020",1,202300,191100,11200,5.5,,,20200302,3202002,197,No,0
Southwest Corner WDA,18,15,42,4215000018,PA,2020,3,2,"February, 2020",1,208700,197900,10800,5.2,,,20200302,3202002,198,No,0
Three Rivers WDA,19,15,42,4215000019,PA,2020,3,2,"February, 2020",1,649900,622100,27700,4.3,,,20200302,3202002,199,No,0
Tri-County WDA,20,15,42,4215000020,PA,2020,3,2,"February, 2020",1,171400,163100,8300,4.8,,,20200302,3202002,200,No,0
West Central WDA,21,15,42,4215000021,PA,2020,3,2,"February, 2020",1,89900,84700,5200,5.8,,,20200302,3202002,201,No,0
Westmoreland and Fayette Counties WDA,22,15,42,4215000022,PA,2020,3,2,"February, 2020",1,239000,226300,12800,5.3,,,20200302,3202002,202,No,0
"Allentown-Bethlehem-Easton, PA-NJ MSA",10900,31,42,4231010900,PA,2020,3,2,"February, 2020",1,447600,427800,19800,4.4,,,20200302,3202002,203,No,0
