Areaname,Area,Areatype,Stfips,Maparea,Stateabbrv,Periodyear,Periodtype,Period,Timeperiod,Adjusted,Laborforce,Emplab,Unemp,Unemprate,Clfprate,Emppopratio,Fullperiod,Sortperiod,Rank,Preliminary,prelim
United States,0,0,0,0,US,2020,3,1,"January, 2020",1,164455000,158659000,5796000,3.5,63.4,61.1,20200301,3202001,0,No,0
Pennsylvania,0,1,42,4201000000,PA,2020,3,1,"January, 2020",1,6532000,6217000,315000,4.8,63.5,60.5,20200301,3202001,1,No,0
Adams County,1,4,42,4204000001,PA,2020,3,1,"January, 2020",1,55700,53800,1900,3.4,,,20200301,3202001,2,No,0
Allegheny County,3,4,42,4204000003,PA,2020,3,1,"January, 2020",1,649700,621800,28000,4.3,,,20200301,3202001,3,No,0
Armstrong County,5,4,42,4204000005,PA,2020,3,1,"January, 2020",1,32300,30500,1900,5.7,,,20200301,3202001,4,No,0
Beaver County,7,4,42,4204000007,PA,2020,3,1,"January, 2020",1,84300,80100,4200,5,,,20200301,3202001,5,No,0
Bedford County,9,4,42,4204000009,PA,2020,3,1,"January, 2020",1,23600,22400,1200,5,,,20200301,3202001,6,No,0
Berks County,11,4,42,4204000011,PA,2020,3,1,"January, 2020",1,216300,206500,9800,4.6,,,20200301,3202001,7,No,0
Blair County,13,4,42,4204000013,PA,2020,3,1,"January, 2020",1,59900,57000,2800,4.7,,,20200301,3202001,8,No,0
Bradford County,15,4,42,4204000015,PA,2020,3,1,"January, 2020",1,28500,27100,1400,4.9,,,20200301,3202001,9,No,0
Bucks County,17,4,42,4204000017,PA,2020,3,1,"January, 2020",1,348800,334800,14000,4,,,20200301,3202001,10,No,0
Butler County,19,4,42,4204000019,PA,2020,3,1,"January, 2020",1,100200,96100,4000,4,,,20200301,3202001,11,No,0
Cambria County,21,4,42,4204000021,PA,2020,3,1,"January, 2020",1,57500,54200,3300,5.7,,,20200301,3202001,12,No,0
Cameron County,23,4,42,4204000023,PA,2020,3,1,"January, 2020",1,2100,1900,100,7.1,,,20200301,3202001,13,No,0
Carbon County,25,4,42,4204000025,PA,2020,3,1,"January, 2020",1,32400,30600,1800,5.5,,,20200301,3202001,14,No,0
Centre County,27,4,42,4204000027,PA,2020,3,1,"January, 2020",1,80600,77700,2900,3.5,,,20200301,3202001,15,No,0
Chester County,29,4,42,4204000029,PA,2020,3,1,"January, 2020",1,290400,280600,9700,3.3,,,20200301,3202001,16,No,0
Clarion County,31,4,42,4204000031,PA,2020,3,1,"January, 2020",1,17300,16300,1000,5.6,,,20200301,3202001,17,No,0
Clearfield County,33,4,42,4204000033,PA,2020,3,1,"January, 2020",1,36200,34100,2100,5.7,,,20200301,3202001,18,No,0
Clinton County,35,4,42,4204000035,PA,2020,3,1,"January, 2020",1,18100,17100,1000,5.4,,,20200301,3202001,19,No,0
Columbia County,37,4,42,4204000037,PA,2020,3,1,"January, 2020",1,33800,32100,1700,5,,,20200301,3202001,20,No,0
Crawford County,39,4,42,4204000039,PA,2020,3,1,"January, 2020",1,38700,36800,2000,5.1,,,20200301,3202001,21,No,0
Cumberland County,41,4,42,4204000041,PA,2020,3,1,"January, 2020",1,133800,129000,4800,3.6,,,20200301,3202001,22,No,0
Dauphin County,43,4,42,4204000043,PA,2020,3,1,"January, 2020",1,145700,139600,6100,4.2,,,20200301,3202001,23,No,0
Delaware County,45,4,42,4204000045,PA,2020,3,1,"January, 2020",1,302800,290000,12800,4.2,,,20200301,3202001,24,No,0
Elk County,47,4,42,4204000047,PA,2020,3,1,"January, 2020",1,15600,14600,1000,6.5,,,20200301,3202001,25,No,0
Erie County,49,4,42,4204000049,PA,2020,3,1,"January, 2020",1,129900,123200,6700,5.2,,,20200301,3202001,26,No,0
Fayette County,51,4,42,4204000051,PA,2020,3,1,"January, 2020",1,57300,53500,3800,6.6,,,20200301,3202001,27,No,0
Forest County,53,4,42,4204000053,PA,2020,3,1,"January, 2020",1,1800,1700,100,7.6,,,20200301,3202001,28,No,0
Franklin County,55,4,42,4204000055,PA,2020,3,1,"January, 2020",1,77800,74800,3000,3.9,,,20200301,3202001,29,No,0
Fulton County,57,4,42,4204000057,PA,2020,3,1,"January, 2020",1,7800,7400,400,5.5,,,20200301,3202001,30,No,0
Greene County,59,4,42,4204000059,PA,2020,3,1,"January, 2020",1,16600,15700,1000,5.9,,,20200301,3202001,31,No,0
Huntingdon County,61,4,42,4204000061,PA,2020,3,1,"January, 2020",1,20200,18900,1300,6.2,,,20200301,3202001,32,No,0
Indiana County,63,4,42,4204000063,PA,2020,3,1,"January, 2020",1,39000,36800,2200,5.6,,,20200301,3202001,33,No,0
Jefferson County,65,4,42,4204000065,PA,2020,3,1,"January, 2020",1,20400,19400,1100,5.3,,,20200301,3202001,34,No,0
Juniata County,67,4,42,4204000067,PA,2020,3,1,"January, 2020",1,12600,12100,500,4.3,,,20200301,3202001,35,No,0
Lackawanna County,69,4,42,4204000069,PA,2020,3,1,"January, 2020",1,106200,100700,5500,5.2,,,20200301,3202001,36,No,0
Lancaster County,71,4,42,4204000071,PA,2020,3,1,"January, 2020",1,288900,278400,10500,3.6,,,20200301,3202001,37,No,0
Lawrence County,73,4,42,4204000073,PA,2020,3,1,"January, 2020",1,40900,38400,2400,6,,,20200301,3202001,38,No,0
