Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Venango,04/26/2021,6,9.4,3740,50668,11.8,18.6,7381.4,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Schuylkill,07/14/2021,1,1.4,14855,141359,0.7,1,10508.7,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Dauphin,05/13/2021,54,48.9,25553,278299,19.4,17.6,9181.9,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Dauphin,05/29/2021,9,14.7,25938,278299,3.2,5.3,9320.2,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Dauphin,04/01/2021,92,68.9,22551,278299,33.1,24.7,8103.2,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Venango,06/15/2021,1,1.3,4090,50668,2,2.5,8072.2,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Schuylkill,07/11/2021,1,1.6,14850,141359,0.7,1.1,10505.2,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Venango,02/05/2021,20,13.7,3231,50668,39.5,27.1,6376.8,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Venango,04/17/2021,5,7,3667,50668,9.9,13.8,7237.3,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Perry,04/30/2021,16,11.9,3648,46272,34.6,25.6,7883.8,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Venango,05/19/2021,10,10.6,4003,50668,19.7,20.9,7900.4,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Venango,04/25/2021,4,9.6,3734,50668,7.9,18.9,7369.5,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Perry,07/19/2020,0,0.4,102,46272,0,0.9,220.4,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Perry,06/06/2020,0,1.3,70,46272,0,2.8,151.3,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Monroe,04/15/2021,133,87.9,12878,170271,78.1,51.6,7563.2,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Fayette,07/23/2021,4,2.3,13483,129274,3.1,1.8,10429.8,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Venango,10/01/2020,0,2,107,50668,0,3.9,211.2,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Schuylkill,07/06/2021,1,1.6,14842,141359,0.7,1.1,10499.5,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Monroe,04/06/2021,54,83.6,12038,170271,31.7,49.1,7069.9,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Perry,11/03/2020,12,4.7,403,46272,25.9,10.2,870.9,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Franklin,07/02/2021,3,2.9,15478,155027,1.9,1.8,9984.1,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Dauphin,05/03/2021,87,72.7,25019,278299,31.3,26.1,8990,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Bedford,04/18/2021,8,16.1,4173,47888,16.7,33.7,8714.1,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Monroe,03/28/2021,50,68.6,11246,170271,29.4,40.3,6604.8,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Bedford,03/08/2021,8,5.1,3852,47888,16.7,10.7,8043.8,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Bedford,02/17/2021,4,5.4,3762,47888,8.4,11.3,7855.8,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Mifflin,03/25/2021,19,8.7,4783,46138,41.2,18.9,10366.7,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Venango,05/05/2021,17,12,3841,50668,33.6,23.7,7580.7,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Venango,06/03/2021,4,2.4,4075,50668,7.9,4.8,8042.6,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Venango,06/24/2021,0,0.9,4099,50668,0,1.7,8089.9,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Mifflin,03/02/2021,9,7.7,4630,46138,19.5,16.7,10035.1,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Perry,11/24/2020,8,13.7,621,46272,17.3,29.6,1342.1,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Perry,05/21/2020,0,0.7,42,46272,0,1.5,90.8,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Dauphin,07/24/2021,6,11,26282,278299,2.2,4,9443.8,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Pennsylvania,04/06/2021,4527,4240,1055852,12801989,35.4,33.1,8247.6,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
York,07/23/2021,24,17.7,47311,449058,5.3,3.9,10535.6,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Adams,10/23/2020,7,12.3,1094,103009,6.8,11.9,1062,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Allegheny,05/19/2021,147,128.3,100559,1216045,12.1,10.5,8269.3,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Chester,12/11/2020,359,277.7,15645,524989,68.4,52.9,2980.1,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Susquehanna,05/04/2021,10,11.4,2485,40328,24.8,28.3,6162,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Carbon,11/11/2020,37,21.4,825,64182,57.6,33.4,1285.4,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Venango,10/07/2020,7,2.3,123,50668,13.8,4.5,242.8,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Dauphin,05/25/2021,14,23,25886,278299,5,8.3,9301.5,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Monroe,03/17/2021,59,55.1,10554,170271,34.7,32.4,6198.4,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Schuylkill,07/12/2021,3,1.7,14853,141359,2.1,1.2,10507.3,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Venango,07/15/2020,0,2.4,52,50668,0,4.8,102.6,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Bradford,07/23/2020,1,1.9,88,60323,1.7,3.1,145.9,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Dauphin,04/17/2021,43,92,23842,278299,15.5,33.1,8567,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Perry,07/24/2021,0,0.6,3864,46272,0,1.2,8350.6,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Dauphin,07/16/2021,7,5.9,26200,278299,2.5,2.1,9414.3,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Bedford,01/05/2021,31,23.1,3097,47888,64.7,48.3,6467.2,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Dauphin,07/21/2021,10,9,26249,278299,3.6,3.2,9431.9,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Perry,01/10/2021,42,34.6,2044,46272,90.8,74.7,4417.4,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Schuylkill,07/07/2021,3,1.6,14845,141359,2.1,1.1,10501.6,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Monroe,03/27/2021,51,64.9,11196,170271,30,38.1,6575.4,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Schuylkill,04/10/2021,45,43.1,13356,141359,31.8,30.5,9448.3,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Monroe,03/12/2021,50,45,10272,170271,29.4,26.4,6032.7,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Perry,05/23/2020,4,1.1,48,46272,8.6,2.5,103.7,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Venango,12/26/2020,38,44.6,2320,50668,75,88,4578.8,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Mifflin,02/01/2021,9,19.4,4347,46138,19.5,42.1,9421.7,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Dauphin,05/30/2021,8,13,25946,278299,2.9,4.7,9323.1,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Schuylkill,05/17/2021,17,18.1,14601,141359,12,12.8,10329,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Perry,06/11/2020,1,0.6,73,46272,2.2,1.2,157.8,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Monroe,04/13/2021,81,93.3,12691,170271,47.6,54.8,7453.4,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Perry,02/21/2021,3,8.4,2834,46272,6.5,18.2,6124.7,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Dauphin,05/17/2021,70,43.4,25691,278299,25.2,15.6,9231.4,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Schuylkill,07/09/2021,1,1,14846,141359,0.7,0.7,10502.3,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Bedford,03/05/2021,7,5,3839,47888,14.6,10.4,8016.6,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Monroe,05/09/2021,21,39.9,14319,170271,12.3,23.4,8409.5,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Dauphin,07/08/2021,1,3,26151,278299,0.4,1.1,9396.7,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Venango,02/23/2021,7,7.7,3376,50668,13.8,15.2,6663,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Dauphin,07/19/2021,15,8.4,26228,278299,5.4,3,9424.4,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Venango,08/16/2020,0,0.4,76,50668,0,0.8,150,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Venango,07/21/2021,1,0.7,4120,50668,2,1.4,8131.4,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Venango,07/30/2020,2,1.7,69,50668,3.9,3.4,136.2,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Perry,02/03/2021,16,20.9,2610,46272,34.6,45.1,5640.6,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Dauphin,05/06/2021,72,61.9,25211,278299,25.9,22.2,9059,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Clearfield,05/20/2021,17,9.9,8510,79255,21.4,12.4,10737.5,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Carbon,11/29/2020,13,35.9,1360,64182,20.3,55.9,2119,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Schuylkill,05/28/2021,9,11.4,14734,141359,6.4,8.1,10423.1,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Mifflin,12/31/2020,41,36.7,3473,46138,88.9,79.6,7527.4,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Mifflin,02/26/2021,14,8.9,4606,46138,30.3,19.2,9983.1,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Schuylkill,07/18/2021,1,2.6,14868,141359,0.7,1.8,10517.9,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Perry,03/25/2021,21,13.3,3151,46272,45.4,28.7,6809.7,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Perry,05/08/2020,0,0.1,35,46272,0,0.3,75.6,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Venango,03/18/2021,2,5,3536,50668,3.9,9.9,6978.8,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Venango,08/18/2020,0,0.1,77,50668,0,0.3,152,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Venango,05/03/2021,13,10.6,3814,50668,25.7,20.9,7527.4,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Perry,12/26/2020,19,34.4,1607,46272,41.1,74.4,3472.9,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Venango,05/28/2021,1,5.7,4059,50668,2,11.3,8011,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Mifflin,06/20/2021,1,1,5430,46138,2.2,2.2,11769,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Schuylkill,06/22/2021,1,1.7,14819,141359,0.7,1.2,10483.2,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Schuylkill,05/30/2021,4,9.9,14745,141359,2.8,7,10430.9,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Clinton,06/20/2021,0,0.4,3710,38632,0,1.1,9603.4,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Venango,12/31/2020,61,31.1,2458,50668,120.4,61.5,4851.2,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Huntingdon,06/20/2021,0,1.4,5149,45144,0,3.2,11405.7,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Venango,07/17/2020,0,2.1,53,50668,0,4.2,104.6,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Dauphin,05/19/2021,28,36.3,25753,278299,10.1,13,9253.7,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Venango,07/16/2021,0,0.7,4116,50668,0,1.4,8123.5,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Mifflin,04/23/2021,26,14,5076,46138,56.4,30.3,11001.8,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Venango,09/24/2020,0,0.4,93,50668,0,0.8,183.5,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Fulton,07/10/2021,0,0.6,1380,14530,0,3.9,9497.6,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Perry,01/16/2021,20,28,2198,46272,43.2,60.5,4750.2,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Perry,04/09/2021,15,15.1,3372,46272,32.4,32.7,7287.3,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Perry,09/12/2020,1,1.1,196,46272,2.2,2.5,423.6,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Schuylkill,05/18/2021,15,17.4,14616,141359,10.6,12.3,10339.6,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Perry,05/15/2020,3,0.7,40,46272,6.5,1.5,86.4,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Monroe,03/30/2021,87,77.7,11453,170271,51.1,45.6,6726.3,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Forest,07/10/2021,0,0.1,1436,7247,0,2,19815.1,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Sullivan,06/20/2021,0,0.1,440,6066,0,2.4,7253.5,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Bedford,07/10/2021,0,1.3,4738,47888,0,2.7,9893.9,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Venango,01/20/2021,10,16.3,3003,50668,19.7,32.1,5926.8,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Schuylkill,06/26/2021,1,1.6,14826,141359,0.7,1.1,10488.2,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Venango,06/26/2021,0,0.9,4100,50668,0,1.7,8091.9,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Bedford,06/20/2021,0,1.7,4708,47888,0,3.6,9831.3,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Perry,05/02/2021,3,10.6,3657,46272,6.5,22.8,7903.3,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Perry,04/05/2021,11,14,3302,46272,23.8,30.3,7136.1,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Tioga,07/10/2021,0,0.3,3134,40591,0,0.7,7720.9,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Venango,08/22/2020,0,0.3,78,50668,0,0.6,153.9,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Venango,08/26/2020,1,0.4,80,50668,2,0.8,157.9,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Snyder,07/10/2021,0,0.6,3689,40372,0,1.4,9137.5,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Schuylkill,04/26/2021,43,36.3,13993,141359,30.4,25.7,9898.9,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Clearfield,05/07/2021,20,20.3,8360,79255,25.2,25.6,10548.2,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Venango,01/13/2021,24,33.4,2889,50668,47.4,66,5701.8,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Venango,08/30/2020,0,0.3,80,50668,0,0.6,157.9,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Venango,07/18/2020,0,2,53,50668,0,3.9,104.6,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Perry,06/01/2021,1,1.9,3824,46272,2.2,4,8264.2,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Forest,07/24/2021,0,0.1,1439,7247,0,2,19856.5,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Venango,02/24/2021,12,8.6,3388,50668,23.7,16.9,6686.7,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Monroe,05/03/2021,57,60,14097,170271,33.5,35.2,8279.2,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Schuylkill,07/08/2021,0,1.3,14845,141359,0,0.9,10501.6,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Schuylkill,05/21/2021,14,12.4,14654,141359,9.9,8.8,10366.5,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Venango,01/07/2021,23,31.4,2678,50668,45.4,62,5285.4,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Venango,08/12/2020,0,0.6,76,50668,0,1.1,150,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Venango,04/22/2021,10,7.1,3702,50668,19.7,14.1,7306.4,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Juniata,06/20/2021,0,0.4,2139,24763,0,1.7,8637.9,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Perry,07/10/2021,1,0.3,3856,46272,2.2,0.6,8333.3,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Cambria,07/10/2021,1,0.9,14837,130192,0.8,0.7,11396.2,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Schuylkill,05/05/2021,24,35.1,14325,141359,17,24.9,10133.8,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Perry,05/02/2020,1,1.1,35,46272,2.2,2.5,75.6,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Bedford,11/26/2020,76,47.6,1450,47888,158.7,99.3,3027.9,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Huntingdon,07/10/2021,2,0.4,5176,45144,4.4,0.9,11465.5,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Clinton,07/10/2021,0,0,3712,38632,0,0,9608.6,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Allegheny,07/20/2021,53,40.3,102396,1216045,4.4,3.3,8420.4,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Susquehanna,01/22/2021,12,15.4,1426,40328,29.8,38.3,3536,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Perry,07/28/2020,1,2,118,46272,2.2,4.3,255,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Mifflin,04/20/2021,10,11,5020,46138,21.7,23.8,10880.4,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Monroe,04/19/2021,95,80.6,13174,170271,55.8,47.3,7737.1,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Dauphin,04/06/2021,75,70.3,22911,278299,26.9,25.3,8232.5,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Armstrong,07/10/2021,0,0,6014,64735,0,0,9290.2,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Perry,06/02/2020,0,1.4,65,46272,0,3.1,140.5,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Warren,06/15/2021,0,0.6,2636,39191,0,1.5,6726,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Mifflin,07/10/2021,0,0.1,5441,46138,0,0.3,11792.9,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Dauphin,07/17/2021,5,6,26205,278299,1.8,2.2,9416.1,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Elk,06/20/2021,0,0,2868,29910,0,0,9588.8,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Schuylkill,06/04/2021,0,5.1,14770,141359,0,3.6,10448.6,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Dauphin,04/26/2021,83,73.4,24510,278299,29.8,26.4,8807.1,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Venango,10/08/2020,2,2.6,125,50668,3.9,5.1,246.7,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Warren,05/25/2021,3,2.9,2616,39191,7.7,7.3,6675,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Schuylkill,05/14/2021,24,23.6,14567,141359,17,16.7,10305,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Cameron,06/20/2021,0,0.1,308,4447,0,3.2,6926,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Jefferson,07/10/2021,0,0,3345,43425,0,0,7702.9,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Venango,02/17/2021,6,8,3328,50668,11.8,15.8,6568.2,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Venango,03/23/2021,0,2,3543,50668,0,3.9,6992.6,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Northampton,08/21/2020,2,7,4084,305285,0.7,2.3,1337.8,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Perry,12/15/2020,36,39,1222,46272,77.8,84.3,2640.9,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Perry,11/04/2020,5,5,408,46272,10.8,10.8,881.7,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Susquehanna,05/16/2021,0,5.6,2555,40328,0,13.8,6335.5,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Pennsylvania,01/28/2021,8419,5641.9,836179,12801989,65.8,44.1,6531.6,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Perry,05/16/2021,2,6.6,3764,46272,4.3,14.2,8134.5,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Bedford,03/31/2021,6,3.7,3960,47888,12.5,7.8,8269.3,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Dauphin,06/07/2021,8,10.3,26029,278299,2.9,3.7,9352.9,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Potter,07/10/2021,0,0.6,1226,16526,0,3.5,7418.6,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Monroe,05/02/2021,25,65.1,14040,170271,14.7,38.3,8245.7,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Venango,09/21/2020,2,0.9,93,50668,3.9,1.7,183.5,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Bedford,04/15/2021,21,14.7,4137,47888,43.9,30.7,8638.9,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Schuylkill,04/12/2021,65,45,13445,141359,46,31.8,9511.2,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Perry,07/27/2020,2,2,117,46272,4.3,4.3,252.9,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Warren,07/10/2021,0,0.4,2646,39191,0,1.1,6751.6,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Bedford,05/30/2021,3,8,4638,47888,6.3,16.7,9685.1,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Dauphin,04/08/2021,80,71.9,23054,278299,28.7,25.8,8283.9,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Schuylkill,04/13/2021,48,44.7,13493,141359,34,31.6,9545.2,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Columbia,07/10/2021,0,0.4,5909,64964,0,0.7,9095.8,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Warren,06/20/2021,0,1,2643,39191,0,2.6,6743.9,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Bedford,04/22/2021,23,18.6,4267,47888,48,38.8,8910.4,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Blair,07/10/2021,0,0.4,13524,121829,0,0.4,11100.8,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Elk,07/10/2021,0,0,2871,29910,0,0,9598.8,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Dauphin,07/09/2021,8,3.7,26159,278299,2.9,1.3,9399.6,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Monroe,05/10/2021,43,37.9,14362,170271,25.3,22.2,8434.8,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Forest,06/20/2021,0,0,1433,7247,0,0,19773.7,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Monroe,03/22/2021,62,56.3,10828,170271,36.4,33.1,6359.3,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Franklin,03/07/2021,10,25.6,12691,155027,6.5,16.5,8186.3,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Delaware,03/07/2021,87,105.7,41452,566747,15.4,18.7,7314,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Venango,12/22/2020,35,46.9,2173,50668,69.1,92.5,4288.7,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Perry,06/20/2021,0,0.4,3847,46272,0,0.9,8313.9,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Venango,08/24/2020,1,0.3,79,50668,2,0.6,155.9,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Schuylkill,04/22/2021,39,41.4,13873,141359,27.6,29.3,9814,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Venango,12/09/2020,39,52,1494,50668,77,102.6,2948.6,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Venango,12/28/2020,24,30.3,2350,50668,47.4,59.8,4638,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Fulton,06/20/2021,0,0.3,1366,14530,0,2,9401.2,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
