Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Allegheny,07/27/2020,150,148,7655,1216045,12.3,12.2,629.5,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Chester,04/28/2021,135,126.1,38804,524989,25.7,24,7391.4,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Cameron,09/20/2020,0,0,8,4447,0,0,179.9,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Union,03/08/2020,0,0,0,44923,0,0,0,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Lycoming,06/06/2021,2,5.4,11898,113299,1.8,4.8,10501.4,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Cameron,07/05/2020,0,0.1,4,4447,0,3.2,89.9,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Lebanon,10/04/2020,13,16.4,2173,141793,9.2,11.6,1532.5,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Crawford,04/27/2020,1,0.4,22,84629,1.2,0.5,26,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Forest,12/10/2020,5,5.9,154,7247,69,80.8,2125,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Jefferson,09/22/2020,0,0.9,120,43425,0,2,276.3,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Butler,02/23/2021,51,37.4,13821,187853,27.1,19.9,7357.3,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Elk,06/25/2020,2,0.7,14,29910,6.7,2.4,46.8,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Erie,08/01/2020,12,16.4,976,269728,4.4,6.1,361.8,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Wyoming,03/22/2020,0,0,0,26794,0,0,0,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
